0,AVP,T,Q10,SE,pvalue,significance,num
39,19,25,1.3688897365473756,0.017911740632926554,0.0,***,603
40,19,27,1.3743762612275612,0.023564123994905817,0.0,***,412
41,19,29,1.3404427904316814,0.022982323700496465,0.0,***,262
42,21,21,1.4021405034053205,0.021190640028281527,0.0,***,325
43,21,23,1.3826473071194796,0.016691717691450947,0.0,***,598
44,21,25,1.3566250030062241,0.016377568919234697,0.0,***,590
45,21,27,1.3607009889371502,0.017804591956603666,0.0,***,482
46,21,29,1.3391030176392937,0.024322096492884082,0.0,***,344
47,23,21,1.3647892211861614,0.07140972077419039,0.0,***,34
48,23,23,1.3525612267094822,0.01769808424751451,0.0,***,334
49,23,25,1.3417839036669714,0.013485152422700208,0.0,***,570
50,23,27,1.3444701568320527,0.013512149715839694,0.0,***,525
51,23,29,1.3310924552522916,0.017417168220619006,0.0,***,406
52,5,11,1.6176912849017004,0.0244482729170048,0.0,***,862
53,5,13,1.5999941932173602,0.022557452434901037,0.0,***,748
54,5,15,1.5558157404341075,0.02193460433237049,0.0,***,697
55,5,17,1.5311207751332474,0.02158644337808857,0.0,***,611
56,5,19,1.4948113326760428,0.024109341726197053,0.0,***,579
57,5,21,1.4696143214411443,0.023702947058815704,0.0,***,536
58,5,23,1.411989919667659,0.022773541210896697,0.0,***,482
59,5,25,1.3854153688727846,0.026574550794874474,0.0,***,416
60,5,27,1.347161787879554,0.023097523077442617,0.0,***,347
61,5,29,1.3139002448247392,0.023864339125295952,0.0,***,266
62,5,5,1.7489227028403493,0.02820782407368916,0.0,***,1114
63,5,7,1.7040367583907279,0.02748387279650566,0.0,***,1072
64,5,9,1.6569855204608508,0.023360942321893674,0.0,***,959
65,7,11,1.5856588512805472,0.01593613639385949,0.0,***,1436
66,7,13,1.543418868116487,0.01863259841725684,0.0,***,1169
67,7,15,1.5038071611701118,0.019677117238642072,0.0,***,931
68,7,17,1.4549914146182013,0.020513136714853664,0.0,***,794
69,7,19,1.4491830733866446,0.020431248054499695,0.0,***,719
70,7,21,1.42618065428148,0.02300241910516454,0.0,***,624
71,7,23,1.4091687619264508,0.018438786337394264,0.0,***,573
72,7,25,1.4077602975141026,0.01842035676737752,0.0,***,510
73,7,27,1.4162322497400235,0.022841964418022886,0.0,***,405
74,7,29,1.3868014771803021,0.02660113863737501,0.0,***,312
75,7,5,1.8312522088857732,0.02396169225562783,0.0,***,1351
76,7,7,1.7384605843650698,0.017471819342109285,0.0,***,1747
77,7,9,1.65367486118276,0.014950248956906886,0.0,***,1721
78,9,11,1.633949352605565,0.01477191809456313,0.0,***,2056
79,9,13,1.571451948577649,0.012622036416832794,0.0,***,1808
80,9,15,1.5219615556186337,0.01375947877871564,0.0,***,1451
81,9,17,1.4666780300683986,0.016222518606354486,0.0,***,1123
82,9,19,1.4162322497400235,0.01853121113853229,0.0,***,911
83,9,21,1.3937528485125166,0.018237071155142504,0.0,***,762
84,9,23,1.3785055808937539,0.01664171757604982,0.0,***,652
85,9,25,1.3512093415380155,0.01631218948958968,0.0,***,573
86,9,27,1.3458152994480976,0.01897392173806378,0.0,***,504
87,9,29,1.3771277643359572,0.023611299402578112,0.0,***,373
88,9,5,2.140415566211894,0.4323978123764318,0.054,.,3
89,9,7,1.7384605843650698,0.03689370029120376,0.0,***,455
90,9,9,1.6853950712974088,0.01693850206937242,0.0,***,1682
