0,AVP,T,Q10,SE,pvalue,significance,num
90,7,9,1.6989323086185506,0.020510001593555538,0.0,***,1535
91,9,11,1.6160744021928934,0.024423836864150505,0.0,***,684
92,9,13,1.6096230159584366,0.01780359342014881,0.0,***,1246
93,9,15,1.571451948577649,0.01420690270289815,0.0,***,1726
94,9,17,1.5174025129350848,0.012187906728293951,0.0,***,2201
95,9,19,1.4725564912731355,0.011827699647778633,0.0,***,2250
96,9,21,1.4318968015716587,0.011501117543519124,0.0,***,1832
97,9,23,1.3923597923081943,0.012587798255399463,0.0,***,1135
98,9,25,1.38126535090563,0.01947371283290522,0.0,***,402
99,9,27,1.291752727939704,0.040671485535971774,0.0,***,75
100,9,29,1.177036689688467,0.0980319344299927,0.09,.,7
101,9,5,1.6769891283107623,0.12880417779744002,0.01,**,4
102,9,7,1.8166606353305506,0.14344820013590698,0.0,***,33
103,9,9,1.5840739849944818,0.05806557282422342,0.0,***,190
